lead_id,country,stage,stage_order,won,is_closed
300,Thailand,outreach,1,0,0
301,Cambodia,outreach,1,0,0
302,Cambodia,engagement,2,0,0
303,Cambodia,outreach,1,0,0
304,Cambodia,outreach,1,0,0
305,Cambodia,outreach,1,0,0
306,Cambodia,outreach,1,0,0
307,Cambodia,outreach,1,0,0
308,Cambodia,outreach,1,0,0
309,Cambodia,outreach,1,0,0
310,Cambodia,outreach,1,0,0
311,Cambodia,outreach,1,0,0
312,Benin,outreach,1,0,0
313,Mongolia,outreach,1,0,0
314,Mongolia,engagement,2,0,0
315,Mongolia,outreach,1,0,0
316,Mongolia,outreach,1,0,0
317,Mongolia,outreach,1,0,0
318,Mongolia,outreach,1,0,0
319,Mongolia,outreach,1,0,0
320,Mongolia,outreach,1,0,0
321,Mongolia,engagement,2,0,0
322,Mongolia,outreach,1,0,0
323,Mongolia,outreach,1,0,0
324,Mongolia,outreach,1,0,0
325,Mongolia,outreach,1,0,0
326,Guinea,proposal,4,0,0
327,Guinea,outreach,1,0,0
328,Namibia,outreach,1,0,0
329,Namibia,outreach,1,0,0
330,Laos,lost_no_budget,5,0,1
331,Laos,lost_no_budget,5,0,1
332,Laos,outreach,1,0,0
333,Laos,outreach,1,0,0
334,Laos,outreach,1,0,0
335,Laos,outreach,1,0,0
336,Laos,outreach,1,0,0
337,USA,outreach,1,0,0
338,Namibia,outreach,1,0,0
339,Namibia,outreach,1,0,0
340,Namibia,outreach,1,0,0
341,Namibia,outreach,1,0,0
342,Namibia,outreach,1,0,0
343,Uruguay,outreach,1,0,0
344,Uruguay,outreach,1,0,0
345,Uruguay,outreach,1,0,0
346,UAE,outreach,1,0,0
347,Kenya,engagement,2,0,0
348,Cote d'Ivoire,engagement,2,0,0
349,Cote d'Ivoire,outreach,1,0,0
350,Cote d'Ivoire,outreach,1,0,0
351,Cote d'Ivoire,outreach,1,0,0
352,Cote d'Ivoire,outreach,1,0,0
353,Cote d'Ivoire,outreach,1,0,0
354,Philippines,outreach,1,0,0
355,Philippines,outreach,1,0,0
356,Philippines,outreach,1,0,0
357,Philippines,outreach,1,0,0
358,Philippines,outreach,1,0,0
359,Philippines,outreach,1,0,0
360,Philippines,outreach,1,0,0
361,Philippines,outreach,1,0,0
362,Philippines,outreach,1,0,0
363,Philippines,outreach,1,0,0
364,Philippines,outreach,1,0,0
365,Philippines,outreach,1,0,0
366,Philippines,outreach,1,0,0
367,Philippines,outreach,1,0,0
368,Philippines,outreach,1,0,0
369,Philippines,outreach,1,0,0
370,Philippines,outreach,1,0,0
371,Philippines,engagement,2,0,0
372,Philippines,outreach,1,0,0
373,Philippines,outreach,1,0,0
374,Philippines,engagement,2,0,0
375,Philippines,outreach,1,0,0
376,Philippines,meeting,3,0,0
377,Philippines,meeting,3,0,0
378,Philippines,meeting,3,0,0
379,Philippines,outreach,1,0,0
380,Poland,engagement,2,0,0
381,Poland,outreach,1,0,0
382,Poland,engagement,2,0,0
383,Poland,outreach,1,0,0
384,Poland,outreach,1,0,0
385,Poland,outreach,1,0,0
386,Poland,outreach,1,0,0
387,Poland,outreach,1,0,0
