lead_id,country,type,stage,stage_order,won,is_closed
502,Panama,Government,outreach,1,0,0
503,Panama,Government,outreach,1,0,0
504,Panama,Government,outreach,1,0,0
505,Panama,Government,outreach,1,0,0
506,Panama,Government,outreach,1,0,0
507,UAE,Government,outreach,1,0,0
508,UAE,Government,outreach,1,0,0
509,UAE,Government,outreach,1,0,0
510,UAE,Government,outreach,1,0,0
511,UAE,Government,outreach,1,0,0
512,UAE,Government,outreach,1,0,0
513,Kuwait,Government,outreach,1,0,0
514,Kuwait,Government,outreach,1,0,0
515,UAE,Government,meeting,3,0,0
516,Canada,Government,outreach,1,0,0
517,United Kingdom,Government,outreach,1,0,0
518,Norway,Government,outreach,1,0,0
519,Costa Rica,Government,outreach,1,0,0
520,Costa Rica,Government,outreach,1,0,0
521,Venezuela,Government,outreach,1,0,0
522,Costa Rica,Government,outreach,1,0,0
523,Colombia,Government,outreach,1,0,0
524,Mexico,Government,outreach,1,0,0
525,Colombia,Government,outreach,1,0,0
526,Kenya,Government,outreach,1,0,0
527,UAE,Government,outreach,1,0,0
528,UAE,Government,outreach,1,0,0
529,UAE,Government,outreach,1,0,0
531,UAE,Government,outreach,1,0,0
532,UAE,Government,outreach,1,0,0
533,UAE,Government,outreach,1,0,0
534,UAE,Government,outreach,1,0,0
535,UAE,Government,outreach,1,0,0
536,Mexico,Government,outreach,1,0,0
537,Mexico,Government,outreach,1,0,0
538,Mexico,Government,outreach,1,0,0
539,Mexico,Government,outreach,1,0,0
540,Ecuador,Government,outreach,1,0,0
541,Ecuador,Government,outreach,1,0,0
542,Ecuador,Government,outreach,1,0,0
543,UAE,Enterprise,engagement,2,0,0
544,UAE,Enterprise,engagement,2,0,0
545,UAE,Enterprise,engagement,2,0,0
546,UAE,Enterprise,outreach,1,0,0
548,UAE,Government,outreach,1,0,0
550,UAE,Enterprise,lost,5,0,1
551,UAE,Enterprise,lost,5,0,1
552,UAE,Enterprise,lost,5,0,1
553,UAE,Enterprise,lost,5,0,1
554,UAE,Enterprise,lost,5,0,1
555,UAE,Government,outreach,1,0,0
556,UAE,Government,outreach,1,0,0
557,UAE,Government,outreach,1,0,0
558,UAE,Government,outreach,1,0,0
559,UAE,Government,outreach,1,0,0
560,UAE,Government,outreach,1,0,0
561,UAE,Government,outreach,1,0,0
562,UAE,Government,outreach,1,0,0
563,UAE,Government,outreach,1,0,0
564,UAE,Government,outreach,1,0,0
565,UAE,Government,outreach,1,0,0
566,UAE,Government,outreach,1,0,0
567,UAE,Government,outreach,1,0,0
568,UAE,Government,outreach,1,0,0
569,UAE,Government,outreach,1,0,0
570,UAE,Government,outreach,1,0,0
571,UAE,Government,outreach,1,0,0
572,UAE,Enterprise,lost,5,0,1
573,UAE,Enterprise,lost,5,0,1
574,UAE,Enterprise,engagement,2,0,0
575,UAE,Enterprise,engagement,2,0,0
576,UAE,Enterprise,engagement,2,0,0
577,UAE,Government,engagement,2,0,0
578,UAE,Government,outreach,1,0,0
579,UAE,Government,outreach,1,0,0
580,UAE,Government,outreach,1,0,0
581,UAE,Government,outreach,1,0,0
582,UAE,Government,outreach,1,0,0
583,UAE,Government,outreach,1,0,0
584,UAE,Government,outreach,1,0,0
585,UAE,Government,outreach,1,0,0
586,UAE,Government,outreach,1,0,0
587,UAE,Government,outreach,1,0,0
588,UAE,Government,outreach,1,0,0
589,UAE,Government,outreach,1,0,0
590,UAE,Government,outreach,1,0,0
591,UAE,Government,outreach,1,0,0
592,UAE,Government,outreach,1,0,0
593,UAE,Government,outreach,1,0,0
594,UAE,Government,outreach,1,0,0
595,UAE,Government,outreach,1,0,0
596,Bahrain,Government,outreach,1,0,0
597,Bahrain,Government,outreach,1,0,0
598,Bahrain,Government,outreach,1,0,0
599,Bahrain,Government,outreach,1,0,0
600,Bahrain,Government,outreach,1,0,0
601,Bahrain,Government,outreach,1,0,0
602,Bahrain,Government,outreach,1,0,0
603,Bahrain,Government,outreach,1,0,0
604,Bahrain,Government,outreach,1,0,0
605,Bahrain,Government,engagement,2,0,0
606,Saudi Arabia,Government,engagement,2,0,0
607,Saudi Arabia,Enterprise,outreach,1,0,0
608,Saudi Arabia,Government,outreach,1,0,0
609,Saudi Arabia,Enterprise,outreach,1,0,0
610,Saudi Arabia,Enterprise,outreach,1,0,0
611,UAE,Government,outreach,1,0,0
612,Saudi Arabia,Government,outreach,1,0,0
613,Qatar,Government,outreach,1,0,0
614,Qatar,Government,outreach,1,0,0
615,Qatar,Government,outreach,1,0,0
616,Qatar,Government,outreach,1,0,0
617,Qatar,Government,outreach,1,0,0
618,Qatar,Government,outreach,1,0,0
619,Qatar,Government,outreach,1,0,0
620,Qatar,Government,outreach,1,0,0
621,Qatar,Government,outreach,1,0,0
622,Qatar,Government,outreach,1,0,0
623,Qatar,Government,outreach,1,0,0
624,Morocco,Government,outreach,1,0,0
625,Morocco,Government,outreach,1,0,0
626,Morocco,Government,outreach,1,0,0
627,Morocco,Government,outreach,1,0,0
628,Morocco,Government,outreach,1,0,0
629,Morocco,Government,outreach,1,0,0
630,Morocco,Government,outreach,1,0,0
631,Morocco,Government,engagement,2,0,0
632,Morocco,Government,outreach,1,0,0
633,Morocco,Government,meeting,3,0,0
634,Morocco,Government,outreach,1,0,0
635,Morocco,Government,outreach,1,0,0
636,Morocco,Government,outreach,1,0,0
637,United Kingdom,Enterprise,outreach,1,0,0
638,UAE,Government,outreach,1,0,0
639,UAE,Government,outreach,1,0,0
640,UAE,Government,outreach,1,0,0
641,UAE,Government,outreach,1,0,0
642,UAE,Government,outreach,1,0,0
643,UAE,Enterprise,outreach,1,0,0
644,UAE,Government,outreach,1,0,0
645,Saudi Arabia,Government,outreach,1,0,0
646,Saudi Arabia,Government,outreach,1,0,0
647,Saudi Arabia,Government,outreach,1,0,0
